"Sample"	"Type"
"MEF2B"	"NUCLEUS"
"AR"	"NUCLEUS"
"ERBB2IP"	"NUCLEUS"
"EGR1"	"NUCLEUS"
"NFKBIA"	"NUCLEUS"
"CTNNB1"	"NUCLEUS"
"CDK8"	"NUCLEUS"
"SUV39H1"	"NUCLEUS"
"TGFBR1"	"BIOPOLYMER_METABOLIC_PROCESS"
"RAF1"	"BIOPOLYMER_METABOLIC_PROCESS"
"LCK"	"BIOPOLYMER_METABOLIC_PROCESS"
"ERBB2"	"BIOPOLYMER_METABOLIC_PROCESS"
"PIM1"	"BIOPOLYMER_METABOLIC_PROCESS"
"SOCS1"	"BIOPOLYMER_METABOLIC_PROCESS"
"AKT1"	"BIOPOLYMER_METABOLIC_PROCESS"
"ERBB3"	"BIOPOLYMER_METABOLIC_PROCESS"
"PRKCE"	"BIOPOLYMER_METABOLIC_PROCESS"
"UBE2A"	"BIOPOLYMER_METABOLIC_PROCESS"
"BCR"	"BIOPOLYMER_METABOLIC_PROCESS"
"POU2F2"	"BIOPOLYMER_METABOLIC_PROCESS"
"GLI1"	"BIOPOLYMER_METABOLIC_PROCESS"
"NANOG"	"BIOPOLYMER_METABOLIC_PROCESS"
"PPARG"	"BIOPOLYMER_METABOLIC_PROCESS"
"TCF7L2"	"BIOPOLYMER_METABOLIC_PROCESS"
"POU5F1"	"BIOPOLYMER_METABOLIC_PROCESS"
"PRDM1"	"BIOPOLYMER_METABOLIC_PROCESS"
"ETV1"	"BIOPOLYMER_METABOLIC_PROCESS"
"CDC42"	"PROTEIN_METABOLIC_PROCESS"
"RAC1"	"PROTEIN_METABOLIC_PROCESS"
"SRC"	"PROTEIN_METABOLIC_PROCESS"
"ETS1"	"PUJANA_ATM_PCC_NETWORK"
"IKBKG"	"PUJANA_ATM_PCC_NETWORK"
"B2M"	"PUJANA_ATM_PCC_NETWORK"
"ETV6"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H1E"	"PUJANA_ATM_PCC_NETWORK"
"FGFR3"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"HRAS"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"UNC5C"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"MEF2C"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"PDGFC"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"MYD88"	"SIGNAL_TRANSDUCTION"
"BIRC2"	"SIGNAL_TRANSDUCTION"
"FYN"	"SIGNAL_TRANSDUCTION"
"RHOA"	"SIGNAL_TRANSDUCTION"
"TNFRSF14"	"SIGNAL_TRANSDUCTION"
"MAP2K1"	"SIGNAL_TRANSDUCTION"
"FRS2"	"SIGNAL_TRANSDUCTION"
"STAT6"	"SIGNAL_TRANSDUCTION"
"ESR1"	"SIGNAL_TRANSDUCTION"
"ITPKB"	"SIGNAL_TRANSDUCTION"
"AXL"	"SIGNAL_TRANSDUCTION"
"TNFRSF13B"	"SIGNAL_TRANSDUCTION"
"GABRA1"	"SIGNAL_TRANSDUCTION"
"CARD11"	"OTHERS"
"PIK3CA"	"OTHERS"
"HLA-A"	"OTHERS"
"HLA-B"	"OTHERS"
"MAP3K14"	"OTHERS"
"PDCD1LG2"	"OTHERS"
"TMSB4X"	"OTHERS"
"CD58"	"OTHERS"
"HIST1H3B"	"OTHERS"
"HIST1H3A"	"OTHERS"
"MET"	"OTHERS"
"TBL1XR1"	"OTHERS"
"EBF1"	"OTHERS"
"BRD4"	"OTHERS"
"SNAI1"	"OTHERS"
"IDH1"	"OTHERS"
"ING1"	"OTHERS"
"SETD8"	"OTHERS"
"ZNF608"	"OTHERS"
"KLHL6"	"OTHERS"
"YAP1"	"OTHERS"
"ERRFI1"	"OTHERS"
"CPS1"	"OTHERS"
"HIST1H1C"	"OTHERS"
"SRPX"	"OTHERS"
"GSC"	"OTHERS"
"FAM102A"	"OTHERS"
"HIST1H1B"	"OTHERS"
"SETDB1"	"OTHERS"
"HIST1H2AL"	"OTHERS"
"SLITRK6"	"OTHERS"
"FAM5C"	"OTHERS"
"SYN2"	"OTHERS"
"P2RY8"	"OTHERS"
"H1FOO"	"OTHERS"
"PASD1"	"OTHERS"
"SIP1"	"OTHERS"
